firstname,lastname,addressLine1,addressLine2,city,comment,email,itemnumber,,phone,state,zipCode
anu1,gupta1,29 rodney street,albany,auckland,test csv comment,anu@gmail.com,1,,1111111111,AL,111111
anu2,gupta2,30 rodney street,albany1,auckland,test csv comment,anu@gmail.com,2,,1111111112,AL,111112
anu3,gupta3,31 rodney street,albany,auckland,test csv comment,anu@gmail.com,3,,1111111113,AL,111113
anu4,gupta4,32 rodney street,albany2,auckland,test csv comment,anu@gmail.com,4,,1111111114,AL,111114
anu5,gupta5,33 rodney street,albany,auckland,test csv comment,anu@gmail.com,5,,1111111115,AL,111115
anu6,gupta6,34 rodney street,albany3,auckland,test csv comment,anu@gmail.com,6,,1111111116,AL,111116
anu7,gupta7,35 rodney street,albany,auckland,test csv comment,anu@gmail.com,7,,1111111117,AL,111117
anu8,gupta8,36 rodney street,albany4,auckland,test csv comment,anu@gmail.com,8,,1111111118,AL,111118
anu9,gupta9,37 rodney street,albany,auckland,test csv comment,anu@gmail.com,9,,1111111119,AL,111119
anu10,gupta10,38 rodney street,albany5,auckland,test csv comment,anu@gmail.com,10,,1111111120,AL,111120
